url,title,details,image,is_native,board_id,board_name,is_video,ip_address,username,alt_text,canonical_link,story_pin_media,video,created_at,alive,is_a_repin,private
https://www.pinterest.com/pin/117304765293529160/,Simple A Line Spaghetti Strap Light Champagne Satin Evening Dress Party Dress SH2679 - US 2 / Custom Color(Leave color in the seller box),Item Details ： Product Number: SH2679 Fabric: Satin Silhouette: A Line Sleeves: Sleeveless,5da9becb956b6a9cfdae9fc144459b1a,NA,117304833983509584,future plans (tats/pets/family/wedding etc),NA,71.63.218.220,emcbrideee,NA,https://shiny-dress.com/products/simple-a-line-spaghetti-strap-light-champagne-satin-evening-dress-party-dress-sh2679?variant=46585774538939,NA,NA,2025/09/08 00:44:40,true,true,false
https://www.pinterest.com/pin/117304765292890174/,NA,NA,3e9f22320bbab9605500a968bc5376c7,NA,117304833983378235,Clothes,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/04/23 03:33:09,true,true,false
https://www.pinterest.com/pin/117304765293529161/,NA,NA,384748733d017f5207f7a7d236213ee1,true,117304833983509584,future plans (tats/pets/family/wedding etc),NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/08 00:44:42,true,true,false
https://www.pinterest.com/pin/117304765292890175/,NA,NA,03fa69a5ffb132018f1eb6b4ed6cb944,NA,117304833983465998,wallpaper & prints,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/04/23 03:33:16,true,true,false
https://www.pinterest.com/pin/117304765293529164/,NA,NA,a57dedd93bd71de08a2d96c9fa1f5640,NA,117304833983420282,Food,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/08 00:44:57,true,true,false
https://www.pinterest.com/pin/117304765292890170/,NA,NA,bc44e8591779b6aa534745f2f14dead2,NA,117304833983509584,future plans (tats/pets/family/wedding etc),NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/04/23 03:32:10,true,true,false
https://www.pinterest.com/pin/117304765292890171/,NA,NA,5359f5cecd23fcd4bdf05ca89ba421bb,NA,117304833983378235,Clothes,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/04/23 03:32:17,true,true,false
https://www.pinterest.com/pin/117304765293529165/,NA,NA,66b6d326edd7b5640f99139902174e5d,NA,117304833983466001,Dream home/design inspo,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/08 00:45:03,true,true,false
https://www.pinterest.com/pin/117304765292890168/,NA,NA,ff53be118bbe2f3b775c679cff7cfe00,NA,117304833983420282,Food,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/04/23 03:32:04,true,true,false
https://www.pinterest.com/pin/117304765293568064/,FW24 Karin Pants Gray - Melange,Composition : WOOL 50 POLYESTER 50Country of Origin : Republic of Korea,aad29fd944b22d9ab7aae0ebf5c6db44,NA,117304833983608386,Corporate outfits,NA,71.63.218.220,emcbrideee,NA,https://www.wconcept.com/product/fw24-karin-pants-gray-melange/720266346.html,NA,NA,2025/09/19 04:23:27,true,true,false
https://www.pinterest.com/pin/117304765293560897/,NA,NA,00a36013c21b1945d7b2b55ebcc2884f,NA,117304833983608386,Corporate outfits,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/17 05:25:14,true,true,false
https://www.pinterest.com/pin/117304765293560898/,NA,NA,7a6526676708e269af7b8acb60ac5e61,NA,117304833983608386,Corporate outfits,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/17 05:25:32,true,true,false
https://www.pinterest.com/pin/117304765293560899/,NA,NA,81d9887ee65f4c427f4f5b7c98278fa5,NA,117304833983608386,Corporate outfits,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/17 05:25:54,true,true,false
https://www.pinterest.com/pin/117304765293555268/,Jupiter In Scorpio Set -Silver - 8 / Set of 4,MADE TO ORDER SHIPS 9/25 A new favorite. Hand sculpted and organically formed the Jupiter in Scorpio fits and feels like it was sculpted to the shape of your finger. Wear as a set or separate. Sustainable Silver and gold Ethically produced in small qty Premium stainless | steel water proof One 7mm and One 3mm ring set,95617c2a8d252121d04bfd5298bf4f99,NA,117304833983378235,Clothes,NA,50.53.7.95,emcbrideee,NA,https://knaturethelabel.com/products/jupiter-in-scorpio?variant=41392413278269,NA,NA,2025/09/15 15:14:35,true,true,false
https://www.pinterest.com/pin/117304765293555269/,Salty Siren Abalone Necklace .:. Silver - Silver / 16 inches / Large,Dainty sterling silver necklace adorned with an authentic small Abalone shell. Abalone are sacred symbols of the Sea and are believed to aid in emotional balance and support emotional guidance. The shell carries dreamy oceanic properties and is deeply calming. The perfect necklace to wear on your salty beach days. Chain measures 16 inches / Sterling Silver Small Abalone measures roughly 2 inches x 1 inches / Box Chain Large Abalone measures roughly 2.5 inches x 1.5 inches / Snake Chain *Th,2de21a441024a54f79af4bae1efcebb5,NA,117304833983378235,Clothes,NA,50.53.7.95,emcbrideee,Gempacked Jewelry Silver / 16 inches / Large Salty Siren Abalone Necklace .:. Silver,https://www.childofwild.com/products/salty-siren-abalone-necklace-silver,NA,NA,2025/09/15 15:14:40,true,true,false
https://www.pinterest.com/pin/117304765293529158/,NA,NA,a97b4aef38e22e1834cde6530f3f52f8,true,117304833983466001,Dream home/design inspo,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/08 00:44:12,true,true,false
https://www.pinterest.com/pin/117304765293529159/,NA,NA,dbd5fd1947de76870534294b45297361,true,117304833983509584,future plans (tats/pets/family/wedding etc),NA,71.63.218.220,emcbrideee,NA,NA,dbd5fd1947de76870534294b45297361,NA,2025/09/08 00:44:32,true,true,false
